review_description,rating,review_date,preprocessing_review_description,gpt4o_scores,gpt4o_tendency
"The only complaint i have is about the video calling feature, its too small because it's split screen. Other than that, i love this app and use it daily. Edit 2/13/2022- this app has given me LOTS of issues. It's been twice where i open it and it says ""can't refresh feed."" I've tried uninstalling it and restarting the app but that didn't work. I've also had previous trouble logging in though that seems to be fixed now. I don't know what to do to get it to work. 7/20/23 it's long fixed lol",4,2023/7/20 14:29,complaint video calling feature small split screen love app use daily edit 2 13 2022 app given lots issues twice open says refresh feed tried uninstalling restarting app work also previous trouble logging though seems fixed know get work 7 20 23 long fixed lol,-0.5,Negative
"So a while ago, I noticed that when I talk to people my background keeps getting set back to default colors. I usually talk to my main people, and our background is different than default. But it won't go back, and when I change it the background would either go back to default or it would change but it would only last 1 minute. Please fix this, I've tried reinstalling but it didn't work. My friends said that theirs are normal, so there's something wrong with mine.",3,2023/7/12 05:02,ago noticed talk people background keeps getting set back default colors usually talk main people background different default go back change background would either go back default would change would last 1 minute please fix tried reinstalling work friends said normal something wrong mine,-0.5,Negative
"Love the app but everytime I open it, after about ten to twenty minutes of scrolling it just stops playing reels, and it is aggravating cause it'll let me scroll and reload stuff, but it will never play it, and it won't let me watch the videos in my saved/stories as well. I've been keeping it updated, I don't understand why it's doing this. Edit: and now it stopped working. Crashes every time I try to get into it.",1,2023/7/9 06:07,love app everytime open ten twenty minutes scrolling stops playing reels aggravating cause let scroll reload stuff never play let watch videos saved stories well keeping updated understand edit stopped working crashes every time try get,-0.8,Negative
"Says I've had a msg for a year & none of the troubleshooting ideas work. Annoying, but tolerable. What's not is when I click on a Black content creator tagged in a caption & it won't load at all. Tried many times with several different accts & non-black accts opened just fine. I tried force-stopping, clearing data, uninstall/reinstall, restarting my phone, etc., just to be sure that what I'm seeing is actually what is happening. This seems deliberate & it needs to be corrected immediately.",1,2023/7/11 02:53,says msg year none troubleshooting ideas work annoying tolerable click black content creator tagged caption load tried many times several different accts non black accts opened fine tried force stopping clearing data uninstall reinstall restarting phone etc sure seeing actually happening seems deliberate needs corrected immediately,-0.8,Negative
Was better before.. Now the comments are one long line (on mobile devices) whereas before the user could see all the text and proofread it before sending it. It's not always easy to get a point across in one sentence. Please make the UI more user friendly. Also I'm wondering what drives the pictures that come up in the search window? I get many that I have no interest in.,3,2023/7/23 20:06,better comments one long line mobile devices whereas user could see text proofread sending always easy get point across one sentence please make ui user friendly also wondering drives pictures come search window get many interest,0.1,Neutral
"App switches to dark mode and unuseable. For the past few weeks, while using the app, it will switch to dark mode and made text in black background. So the posts are unreadable and the app is pretty much worthless and unuseable. It sounds like this is very common and needs to be addressed. There are too many other platforms out there now for Instagram to be letting this go for this long. And yes, I cleared all caches, reinstalled and the whole works. Several times. ?蝬?",1,2023/7/12 13:18,app switches dark mode unuseable past weeks using app switch dark mode made text black background posts unreadable app pretty much worthless unuseable sounds like common needs addressed many platforms instagram letting go long yes cleared caches reinstalled whole works several times,-0.8,Negative
"Even with light mode on, sometimes the app will turn the text to white on white so I can't read anything. Seems to happen everytime when I click a link in someone's bio and go back to the app. Chat themes also I can't see anymore. Would be good to turn off the autoplay feature since if I'm looking at a photo and there's a reel below, it'll automatically start playing the reel and once the reel is done it'll scroll to the next post even though I'm not done looking at the picture.",1,2023/7/10 17:21,even light mode sometimes app turn text white white read anything seems happen everytime click link someone bio go back app chat themes also see anymore would good turn autoplay feature since looking photo reel automatically start playing reel reel done scroll next post even though done looking picture,-0.7,Negative
"Pretty good app, and I use it frequently, but there's been some issues lately. One is the apps weird color scheme changes where the background and posts be a clash of black and white where I can't see texts, another being issues with chat themes. After I close out, it will automatically change back to pre-determined, and it sucks because I can't see the colors that give it a personality",3,2023/7/10 10:39,pretty good app use frequently issues lately one apps weird color scheme changes background posts clash black white see texts another issues chat themes close automatically change back pre determined sucks see colors give personality,-0.2,Negative
"As a Photographer, Web Devloper, and Graphic Designer, it feels very limiting to use Instagram. The aspect ratio is set to 1:1 or 5:4, and the app doesn't respond to landscape mode on the device. Also, the algorithm seems to suppress posts unless you pay to boost them. Of course, we will never know as all of that info is kept secret from the users. It's still a good app for sharing photos and has the potential to reach a larger audience, and it's good to connect with a younger target market.",3,2023/7/10 00:45,photographer web devloper graphic designer feels limiting use instagram aspect ratio set 1 1 5 4 app respond landscape mode device also algorithm seems suppress posts unless pay boost course never know info kept secret users still good app sharing photos potential reach larger audience good connect younger target market,0.1,Neutral
"Easy to use for the most part, good to talk to friends, but I've been having an issue where if I go to the home screen or open another app Instagram doesn't show in my recently used apps and I have to reopen it. It doesn't sound bad, but it's really annoying, and it's only happening with Instagram, even after reinstalling. I haven't found a fix and it's been happening even after a few updates.",4,2023/7/16 02:26,easy use part good talk friends issue go home screen open another app instagram show recently used apps reopen sound bad really annoying happening instagram even reinstalling found fix happening even updates,-0.6,Negative
"The app will NOT open anymore. Any attempts to do so cause it to crash, saying there is a bug. I've done everything to fix it, restart my phone, uninstall and reinstall the app, check for updates both on my phone and the app, cleared cache, all of it. And the app continues to crash whenever I try to open it. I am FORCED to use the web browser, and it's ridiculous.",1,2023/7/9 14:50,app open anymore attempts cause crash saying bug done everything fix restart phone uninstall reinstall app check updates phone app cleared cache app continues crash whenever try open forced use web browser ridiculous,-0.8,Negative
"First, I lose the ability to use reels with no real indication as to why. I upgraded app versions, clear caches, and nothing. Now, I can't even scroll through posts without the app crashing and a pop-up saying that there is a bug that needs to be addressed and to download the new version when developers create a patch. How about I just delete this app and not use any form of social media. Do better.",1,2023/7/9 12:49,first lose ability use reels real indication upgraded app versions clear caches nothing even scroll posts without app crashing pop saying bug needs addressed download new version developers create patch delete app use form social media better,-0.8,Negative
"It's currently impossible to edit reels in the app. They stop playing when you try to edit them, and if you save as a draft and open it again then the ""audio is no longer available"" and deletes from your video. Or, if you accidentally hit the back button, all of your work disappears. The screen also becomes partially white and black at times, making it difficult to read text.",2,2023/6/28 11:50,currently impossible edit reels app stop playing try edit save draft open audio longer available deletes video accidentally hit back button work disappears screen also becomes partially white black times making difficult read text,-0.8,Negative
"The app is honestly my favorite social medias, and the only one that I reliably use, but there's just so many thing wrong with it that it's hard to recommend it to anyone. There's the fact that the screen will randomly become half light and half dark mode. Or the fact that only some devices get newer content such as notes, chat themes, and most recently the ability to use songs in notes, and I'm also able to use said features on my 2nd account but not the primary one.",3,2023/6/28 21:55,app honestly favorite social medias one reliably use many thing wrong hard recommend anyone fact screen randomly become half light half dark mode fact devices get newer content notes chat themes recently ability use songs notes also able use said features 2nd account primary one,-0.5,Negative
"Recently updated this app on a pixel 7 pro with the latest July patch. The app now force closes the moment it opens. It opens and disappears. I can reset the device and maybe get it to open if I get a notification from the app. But I would say about 70% of the time it just randomly closes. Incredibly frustrating. Unbelievable. I'm not sure if it is the operating system update or the most recent update on the app, but judging from the dates on some of the reviews I feel like it's the app update",1,2023/7/9 12:51,recently updated app pixel 7 pro latest july patch app force closes moment opens opens disappears reset device maybe get open get notification app would say 70 time randomly closes incredibly frustrating unbelievable sure operating system update recent update app judging dates reviews feel like app update,-0.8,Negative
"not only has instagram become super annoying to use (reels were a mistake), but story highlights are still broken ?鈭?i know for a fact this is a common mistake and there isnt a fix for it. highlights with music wont load, they freeze. and its not all of them either, just like some random ones. and its not because music was removed either !! the same song will work on one, but not another. idk just fix the app man",1,2023/7/7 18:23,instagram become super annoying use reels mistake story highlights still broken know fact common mistake isnt fix highlights music wont load freeze either like random ones music removed either song work one another idk fix app man,-0.8,Negative
"Instagram sucks reason 3 and 7, out of way too many... can't turn sound on in people's story. Unless you have turned it on in the feed scroll. Can't start up where you left off, like you can in Twitter. Instagram will throw you to the very latest upload whether you wanted to see it or, not. App is becoming worse and worse. Almost time to delete it like I did with facebook. Videos glitching again.",2,2023/7/12 20:45,instagram sucks reason 3 7 way many turn sound people story unless turned feed scroll start left like twitter instagram throw latest upload whether wanted see app becoming worse worse almost time delete like facebook videos glitching,-0.8,Negative
Keeps crashing ever since yesterday. I've tried the web version and it works fine. For no rhyme or reason it just started insta crashing when trying to launch the app. Even went as far as removing the app and reinstalling it but after scrolling for only a couple seconds it kicks me off ://. I might be banned but that wouldn't explain me being able to use the web version. Hopefully this gets fixed soon.,1,2023/7/9 13:46,keeps crashing ever since yesterday tried web version works fine rhyme reason started insta crashing trying launch app even went far removing app reinstalling scrolling couple seconds kicks might banned explain able use web version hopefully gets fixed soon,-0.8,Negative
"Over personalization and location tracking make this app slow and frustrating to use on a consistent level. Especially while traveling or being outside of your original data coverage area. Having said that, Instagram is a considerable upgrade over Facebook in every way. An absolute huge problem is the constant scamming and soliciting from bots and people alike. Another incredibly large problem amongst the community is identity theft and buying of accounts, specifically on reels.",2,2023/7/20 05:43,personalization location tracking make app slow frustrating use consistent level especially traveling outside original data coverage area said instagram considerable upgrade facebook every way absolute huge problem constant scamming soliciting bots people alike another incredibly large problem amongst community identity theft buying accounts specifically reels,-0.8,Negative
"Updating my review since many of the issues have been fixed. The ""save"" menu that pops up is a great addition to let us choose which save folder to use, but it'd be nice if it were less prominent. It covers most of the screen, but if I want to quickly save a video and move on without picking a folder, it gets in the way. Maybe a smaller menu would be better.",4,2023/5/22 20:26,updating review since many issues fixed save menu pops great addition let us choose save folder use nice less prominent covers screen want quickly save video move without picking folder gets way maybe smaller menu would better,0.2,Positive
"I'm not sure what's been happening. Seems update after update just causes one bug on top of another. Currently, and for a while now, my stories don't want to load correctly, or in today's case, at all. If I add text or stickers or anything really to one slide in a series, it adds it to every slide. I go through each slide and trash what isn't supposed to be there. Then, go back to the original and pull everything up from the trash area to replace it all. It's frustrating and time-consuming.",2,2023/6/9 13:19,sure happening seems update update causes one bug top another currently stories want load correctly today case add text stickers anything really one slide series adds every slide go slide trash supposed go back original pull everything trash area replace frustrating time consuming,-0.8,Negative
"In the last couple of weeks, when I am using the app, it will randomly change to either an all white screen with photos or everything other than the photos will be black. When the screen is black, I am unable to see any words, only the photo. Through most of the glitches, I have sometimes found a work-around, not this time. The app too will just start scrolling on its own sometimes, which is really annoying. Please place attention & focus on this issue as well as the other people have mentioned.",3,2023/6/18 14:01,last couple weeks using app randomly change either white screen photos everything photos black screen black unable see words photo glitches sometimes found work around time app start scrolling sometimes really annoying please place attention focus issue well people mentioned,-0.8,Negative
"This app used to be smooth and functional. But every update seems to introduce new bugs rather than features while keeping the old bugs. Now it's to the point where the app is no longer functional. For example, one specific chat is inaccessible, when I click on it, the app crashes. Another example, when I'm scrolling through reels, after a certain point, I will scroll where the reel says, ""This reel is unavailable"" and the app will immediately crash. These are both broken essential features.",1,2023/6/11 07:14,app used smooth functional every update seems introduce new bugs rather features keeping old bugs point app longer functional example one specific chat inaccessible click app crashes another example scrolling reels certain point scroll reel says reel unavailable app immediately crash broken essential features,-0.9,Negative
"I've never enjoyed this app, though I can appreciate the content on here. It's a decent way for artists to share their art and for others their life. However I do think that it's unreliable. The app is incredibly glitchy, which may just be me, but it's worth a note. Specifically on Instagram, the format will change dramatically whenever you go to a different screen. Ex: The messages could be in light mode, then you exit to the home screen and it's in dark mode. This has only happened recently.",2,2023/6/19 01:13,never enjoyed app though appreciate content decent way artists share art others life however think unreliable app incredibly glitchy may worth note specifically instagram format change dramatically whenever go different screen ex messages could light mode exit home screen dark mode happened recently,-0.6,Negative
"The change into format ... weeks ago instead of the precise date is very inconvenient. Also, after the update, the story icons are too big. While choosing pictures for a post, if you leave the app (for example, to go to the gallery to check the pictures), it automatically resets all the chosen pictures, so you have to choose again. It is unclear how to draft the posts. Also, the draft reels folder keeps appearing and disappearing. There's ads one after another (too often)",3,2023/6/6 12:48,change format weeks ago instead precise date inconvenient also update story icons big choosing pictures post leave app example go gallery check pictures automatically resets chosen pictures choose unclear draft posts also draft reels folder keeps appearing disappearing ads one another often,-0.8,Negative
So many issues. I think every update just messes something else up. I use IG mostly for video chats and all of a sudden I can connect to Bluetooth and I no longer have a full screen of the person I'm talking to nor do they get a full screen of me it's just two half photos on top of each other. Trash. The sound is not the best if you are in a room with anyone else since staying connected to Bluetooth is almost impossible. PLEASE FIX. I would love to go back to normal video calls.,2,2023/6/11 17:54,many issues think every update messes something else use ig mostly video chats sudden connect bluetooth longer full screen person talking get full screen two half photos top trash sound best room anyone else since staying connected bluetooth almost impossible please fix would love go back normal video calls,-0.8,Negative
"This app really is just throwing itself in the garbage. It pushes reels so hard, but can't get them to work right, so I'll be scrolling them for a while, and when I close the app and click a different one later, the next swipes are same ones I had already seen, in the same exact order. It also tells me when to swipe a reel if I watch the same one a couple of times, as if it's giving me a tutorial on how to use it. Also posting images glitches edits and crops them weird no matter what you do.",1,2023/5/10 04:10,app really throwing garbage pushes reels hard get work right scrolling close app click different one later next swipes ones already seen exact order also tells swipe reel watch one couple times giving tutorial use also posting images glitches edits crops weird matter,-0.8,Negative
"Annoying. Has been crashing a lot lately, and freezes. My recently liked posts setting is missing. I used it a lot, but now it's gone. Hoping they'll bring it back. And it won't let me save posts. Edit: And now they've changed it so posts show how many weeks ago, and not an exact date. Also, the messages don't work. Sometimes they'll show up a few days after someone's sent them.",1,2023/5/25 07:29,annoying crashing lot lately freezes recently liked posts setting missing used lot gone hoping bring back let save posts edit changed posts show many weeks ago exact date also messages work sometimes show days someone sent,-0.8,Negative
"The words ""Something went wrong. Please try again"" haunt me in my sleep. Reels editor is a disaster. I have a fairly new and powerful phone so it's not my device's issue, plus I've seen other reviewers with the same problem. It freezes up as soon as you start doing ANYTHING in it (adding clips, trimming them, music, text, transitions, etc.). With how much money Meta has and how much they push reels in the algorithm, there's no excuse for it to be such a trainwreck!",1,2023/5/9 05:37,words something went wrong please try haunt sleep reels editor disaster fairly new powerful phone device issue plus seen reviewers problem freezes soon start anything adding clips trimming music text transitions etc much money meta much push reels algorithm excuse trainwreck,-0.8,Negative
Very disappointed with trying to upload multiple pictures. When I got to edit them it then moves the so that they are no longer centered and are being cut off. So I get part of the picture and then get half an inch of a vertical black line on the left side. It's especially annoying when I've spent so much time adjusting these pictures just to find out they have been shifted and everything I do to fix it doesn't work.. it just goes right back to being cropped...,1,2023/6/4 02:20,disappointed trying upload multiple pictures got edit moves longer centered cut get part picture get half inch vertical black line left side especially annoying spent much time adjusting pictures find shifted everything fix work goes right back cropped,-0.8,Negative
"Since the last update, Instagram story creation has been bugged. Specifically, the layered sticker function isn't working correctly. When you choose a subsequent sticker, it now forgets where you were in your images, so you have to scroll back down from the top (previously, it remembered). Also, if you add a sticker, it copies it onto the story after it when making multiple stories. Overall story resolution seems lower as well, at least when it comes to adding text to video or gifs to text.",1,2023/6/6 19:40,since last update instagram story creation bugged specifically layered sticker function working correctly choose subsequent sticker forgets images scroll back top previously remembered also add sticker copies onto story making multiple stories overall story resolution seems lower well least comes adding text video gifs text,-0.7,Negative
"Constantly declining. That is the best way I can describe my experience with Instagram. Entire chats being deleted, notifications never going out, themes appearing and disappearing, videos I send or receive often cannot be played (and are corrupted when you download them). There's just so many issues, and that's with just the DMs Sometimes audio keeps playing when I close the app, sometimes the app double posts comments, and sometimes it doesn't let me post at all and I have to start over again",2,2023/7/9 02:33,constantly declining best way describe experience instagram entire chats deleted notifications never going themes appearing disappearing videos send receive often played corrupted download many issues dms sometimes audio keeps playing close app sometimes app double posts comments sometimes let post start,-0.9,Negative
"Every update makes the app worse. They take away the good features and keep adding unnecesary stuff. Instagram lost its touch after everything became a reel. It used to be nice to see the pictures my friends posted. Now all I see are random reels, suggested reels, repeated reels and ads. This app lost its ""intimacy"" with the users. Now it feels like an overcrowded concert, something you cant enjoy. Really sad tbh, and I've used the app for more than a decade. It has gotten progressively worse.",1,2023/6/15 12:50,every update makes app worse take away good features keep adding unnecesary stuff instagram lost touch everything became reel used nice see pictures friends posted see random reels suggested reels repeated reels ads app lost intimacy users feels like overcrowded concert something cant enjoy really sad tbh used app decade gotten progressively worse,-0.9,Negative
"If you share multiple photos with someone, you can't even look through them or save them. It shows them as a stack of photos, but inaccessible. Messaging barely provides notification nor does it refresh itself. I have to go back to my feed and refresh my feed before my messages will refresh. Sometimes a full closing and re-opening of the app is the only way to fix it.",1,2023/5/4 10:16,share multiple photos someone even look save shows stack photos inaccessible messaging barely provides notification refresh go back feed refresh feed messages refresh sometimes full closing opening app way fix,-0.8,Negative
"What a piece of junk software. I would love to give zero stars. Whatever they did in the latest ""value added"" update appears to redact every picture and/or post after a refresh. Photos (if they show up at all) are blurred. It won't let me manually refresh, log out or access any user options. The only workaround I found for now - is to delete the app and reinstall each and every time I want to interact with it. If it wasn't a ""free"" data mining sink hole, I'd demand a refund.",1,2023/7/5 10:34,piece junk software would love give zero stars whatever latest value added update appears redact every picture post refresh photos show blurred let manually refresh log access user options workaround found delete app reinstall every time want interact free data mining sink hole demand refund,-0.9,Negative
"Constant story notifications despite having them turned off in the app. I had turned on Instagram notifications for the first time in years relatively recently, but it is incessant. It will not stop sending story notifications every hour or two. Terribly annoying. I'm turning off all notifications once again. Garbage app, it will not allow you to be a casual user, the algorithm wants you addicted. Zero stars.",1,2023/7/22 02:02,constant story notifications despite turned app turned instagram notifications first time years relatively recently incessant stop sending story notifications every hour two terribly annoying turning notifications garbage app allow casual user algorithm wants addicted zero stars,-0.8,Negative
"Too many ads. This app was great before I had to see an advertisement between every set of stories and every 3rd post on my newsfeed. I'm at the point where I report every single one because they show up too often but I'm about ready to stop using this app because I don't see the content of prople I follow. Instead it's all ads, promoted content, and recommended trash",1,2023/7/22 22:03,many ads app great see advertisement every set stories every 3rd post newsfeed point report every single one show often ready stop using app see content prople follow instead ads promoted content recommended trash,-0.8,Negative
"The forced swiping of posts went away for a while, and now it's back for some reason. I really hate this ""feature"", being dictated by the system how long I should look at a photo. I acknowledge I can tap on it to stop the timer before it auto swipes, but that's an extra step when I don't want it to do that to begin with. Please start surfacing options for how I view content and interact with it, please stop forcing me to do it specific ways.",2,2023/7/24 15:20,forced swiping posts went away back reason really hate feature dictated system long look photo acknowledge tap stop timer auto swipes extra step want begin please start surfacing options view content interact please stop forcing specific ways,-0.8,Negative
"The app has always been glichy but as of late all of my messages are suddenly not showing up like they've been deleted! I've used all of the troubleshooting I've seen, restarting my phone, loging out and back in, checking wifi, switching to data, ect. Nothing has brought them back and now I cannot text my friends on the app anymore, please fix this!",1,2023/7/16 23:32,app always glichy late messages suddenly showing like deleted used troubleshooting seen restarting phone loging back checking wifi switching data ect nothing brought back text friends app anymore please fix,-0.8,Negative
"customer service is non-existent. When my last account got hacked, they have a photo-retrieval method in the app that they use to analyze your face and compare it with photos on your account to return it if it matches. Problem was the app would crash during that process on my pretty new android. There's no one to reach out to. I had to start over after years having my previous account.",1,2023/7/21 02:18,customer service non existent last account got hacked photo retrieval method app use analyze face compare photos account return matches problem app would crash process pretty new android one reach start years previous account,-0.8,Negative
"Would have been a 5, now a 3. For a month or so now when I hit reply to reply to a message it no longer automatically enters the name of who you are replying to. So you have to memorize it, then type it. If that isn't bad enough the sentence/line wrap feature no longer works. The reply just keeps on going on one line forever. Makes editing impossible. I have checked the settings and have yet to find a setting for this. This is only for the last month or so.",3,2023/7/18 23:58,would 5 3 month hit reply reply message longer automatically enters name replying memorize type bad enough sentence line wrap feature longer works reply keeps going one line forever makes editing impossible checked settings yet find setting last month,-0.8,Negative
"In the edit, it be nice to have a borderline frame ?謘?around the picture so it can keep straight when adjusting the size of a picture. In the preview section it would be nice if display was identical like the display for all to see. It would make it easier to visualize. Before it's sent through the feed. Hope you'll consider it.",3,2023/7/4 22:31,edit nice borderline frame around picture keep straight adjusting size picture preview section would nice display identical like display see would make easier visualize sent feed hope consider,0.2,Positive
"Updating: search could be more user friendly, or have filters. No length adjustment for Stories, so they flash past in 1 sec. (it used to at least give me three before this update). Have to add music to add any length to the stories, however music search for stories is awful, 'suggesting' music that is so far out of line with what I would ever use and doesn't update suggestions. If it's going to make suggestions, at least give us a thumbs up/down option.",2,2023/6/7 17:43,updating search could user friendly filters length adjustment stories flash past 1 sec used least give three update add music add length stories however music search stories awful suggesting music far line would ever use update suggestions going make suggestions least give us thumbs option,-0.5,Negative
"Good concept, and the photo adjustment tools used to be really good, but somehow don't all work as well as they used to. The app is shockingly buggy, especially when posting multiple adjusted photos in one post. And the same bugs often come and go repeatedly with different updates. I have noticed some eventually getting fixed, but then some new ones always pop up. Also, I want the feed to show mostly the people I follow, not so many new suggestions.",2,2023/6/12 23:58,good concept photo adjustment tools used really good somehow work well used app shockingly buggy especially posting multiple adjusted photos one post bugs often come go repeatedly different updates noticed eventually getting fixed new ones always pop also want feed show mostly people follow many new suggestions,-0.2,Negative
"Important to use for modeling. Otherwise I would not use this buggy app. Text disappears from my post for no reason, messages get sent multiple times, and important features are completely missing. For example, once you post, you can't edit carousels (remove or change order), you can't add collaborators, and IG crops images no matter what you do when you can add collaborators before you post. There are more bugs and complaints.",2,2023/7/17 12:14,important use modeling otherwise would use buggy app text disappears post reason messages get sent multiple times important features completely missing example post edit carousels remove change order add collaborators ig crops images matter add collaborators post bugs complaints,-0.8,Negative
The color scheme is constantly turning white and once it's done that your unable to select anything. Conversations with friends is constantly disappearing. Photos I've tried to download become blurry and have to delete. I've restarted my phone several times to try to get it to correct itself to no avail. I'm about ready to just get rid of this app.,1,2023/6/20 03:28,color scheme constantly turning white done unable select anything conversations friends constantly disappearing photos tried download become blurry delete restarted phone several times try get correct avail ready get rid app,-1,Negative
"It has been working as well as I could ask for (which is not well at all seeing as I do not have notes) then, a few days ago my themes reset to default so I can no longer see the limited ones I had or I lost them entirely. One of these issues alone would be an issue, but it's many inconveniences that pile on top of each other that are enough.",1,2023/7/13 19:02,working well could ask well seeing notes days ago themes reset default longer see limited ones lost entirely one issues alone would issue many inconveniences pile top enough,-0.8,Negative
"It's an overall fine app and works, but some features absolutely do not. I try to start a saved posts folder with multiple people and it won't allow me. The feature also isn't available on my separate account, it's like one account is ahead of the other in terms of updates, oh yeah i also uninstalled and reinstalled the app to see if that would fix things and it didn't, i tried on pc also doesn't have the features. It seriously needs some fixing.",3,2023/7/22 21:00,overall fine app works features absolutely try start saved posts folder multiple people allow feature also available separate account like one account ahead terms updates oh yeah also uninstalled reinstalled app see would fix things tried pc also features seriously needs fixing,-0.4,Negative
Full of glitches. You have to make reels to get traffic and the reels feature has so many issues I'm about done with the whole app. I just lost an hour's work on a reel with no warning. The whole reel is just gone. Not in drafts. Not posting. Just gone. This kind of thing keeps happening. It's not worth the headache imo.,1,2023/6/6 16:56,full glitches make reels get traffic reels feature many issues done whole app lost hour work reel warning whole reel gone drafts posting gone kind thing keeps happening worth headache imo,-0.8,Negative
